date,market,advancers,decliners,unchanged,ad_net,ad_line,new_high_52w,new_low_52w,above_ma20,above_ma60,above_ma120,above_ma200
2025-03-18,KOSDAQ,0,0,1703,0,0,0,0,,,,
2025-03-19,KOSDAQ,671,873,159,-202,-202,0,0,,,,
2025-03-20,KOSDAQ,438,1139,129,-701,-903,0,0,,,,
2025-03-21,KOSDAQ,551,1034,122,-483,-1386,0,0,,,,
2025-03-24,KOSDAQ,723,843,142,-120,-1506,0,0,,,,
2025-03-25,KOSDAQ,488,1110,110,-622,-2128,0,0,,,,
2025-03-26,KOSDAQ,901,662,145,239,-1889,0,0,,,,
2025-03-27,KOSDAQ,442,1155,111,-713,-2602,0,0,,,,
2025-03-28,KOSDAQ,309,1296,104,-987,-3589,0,0,,,,
2025-03-31,KOSDAQ,202,1424,83,-1222,-4811,0,0,,,,
2025-04-01,KOSDAQ,1395,225,89,1170,-3641,0,0,,,,
2025-04-02,KOSDAQ,493,1100,116,-607,-4248,0,0,,,,
2025-04-03,KOSDAQ,565,1007,138,-442,-4690,0,0,,,,
2025-04-04,KOSDAQ,976,619,115,357,-4333,0,0,,,,
2025-04-07,KOSDAQ,185,1462,63,-1277,-5610,0,0,,,,
2025-04-08,KOSDAQ,1046,541,123,505,-5105,0,0,,,,
2025-04-09,KOSDAQ,304,1313,93,-1009,-6114,0,0,,,,
2025-04-10,KOSDAQ,1550,90,70,1460,-4654,0,0,,,,
2025-04-11,KOSDAQ,1210,388,112,822,-3832,0,0,,,,
2025-04-14,KOSDAQ,1260,333,117,927,-2905,0,0,56.2537,,,
2025-04-15,KOSDAQ,1105,467,138,638,-2267,0,0,66.7645,,,
2025-04-16,KOSDAQ,425,1154,131,-729,-2996,0,0,61.0199,,,
2025-04-17,KOSDAQ,1181,397,132,784,-2212,0,0,69.2443,,,
2025-04-18,KOSDAQ,964,607,139,357,-1855,0,0,75.0585,,,
2025-04-21,KOSDAQ,699,857,154,-158,-2013,0,0,76.0539,,,
2025-04-22,KOSDAQ,679,887,144,-208,-2221,0,0,75.7026,,,
2025-04-23,KOSDAQ,1058,508,144,550,-1671,0,0,82.26,,,
2025-04-24,KOSDAQ,690,881,139,-191,-1862,0,0,81.1001,,,
2025-04-25,KOSDAQ,995,564,151,431,-1431,0,0,84.1428,,,
2025-04-28,KOSDAQ,431,1146,134,-715,-2146,0,0,77.0626,,,
2025-04-29,KOSDAQ,1040,536,136,504,-1642,0,0,79.9298,,,
2025-04-30,KOSDAQ,417,1160,135,-743,-2385,0,0,72.1053,,,
2025-05-02,KOSDAQ,726,845,141,-119,-2504,0,0,69.9415,,,
2025-05-07,KOSDAQ,930,651,131,279,-2225,0,0,70.3509,,,
2025-05-08,KOSDAQ,1011,553,149,458,-1767,0,0,70.4094,,,
2025-05-09,KOSDAQ,518,1051,146,-533,-2300,0,0,62.7485,,,
2025-05-12,KOSDAQ,1073,524,119,549,-1751,0,0,65.4971,,,
2025-05-13,KOSDAQ,841,722,153,119,-1632,0,0,63.4503,,,
2025-05-14,KOSDAQ,1024,554,138,470,-1162,0,0,66.6667,,,
2025-05-15,KOSDAQ,501,1087,129,-586,-1748,0,0,57.9532,,,
2025-05-16,KOSDAQ,456,1156,106,-700,-2448,0,0,45.9064,,,
2025-05-19,KOSDAQ,431,1189,99,-758,-3206,0,0,37.4269,,,
2025-05-20,KOSDAQ,928,656,136,272,-2934,0,0,39.7661,,,
2025-05-21,KOSDAQ,968,611,141,357,-2577,0,0,43.8596,,,
2025-05-22,KOSDAQ,491,1107,122,-616,-3193,0,0,38.4795,,,
2025-05-23,KOSDAQ,591,1005,125,-414,-3607,0,0,36.7836,,,
2025-05-26,KOSDAQ,933,642,146,291,-3316,0,0,39.7076,,,
2025-05-27,KOSDAQ,594,1001,126,-407,-3723,0,0,38.4211,,,
2025-05-28,KOSDAQ,978,606,137,372,-3351,0,0,44.0678,,,
2025-05-29,KOSDAQ,1095,492,135,603,-2748,0,0,49.2991,,,
2025-05-30,KOSDAQ,615,972,135,-357,-3105,0,0,48.6565,,,
2025-06-02,KOSDAQ,831,755,137,76,-3029,0,0,49.8248,,,
2025-06-04,KOSDAQ,1203,405,115,798,-2231,0,0,61.6822,,,
2025-06-05,KOSDAQ,993,598,132,395,-1836,0,0,67.1921,,,
2025-06-09,KOSDAQ,1071,538,114,533,-1303,0,0,71.5452,,,
2025-06-10,KOSDAQ,767,829,128,-62,-1365,0,0,71.6783,,,
2025-06-11,KOSDAQ,1080,502,143,578,-787,0,0,76.4569,,,
2025-06-12,KOSDAQ,751,832,142,-81,-868,0,0,76.9814,,,
2025-06-13,KOSDAQ,246,1396,83,-1150,-2018,0,0,61.4444,,,
2025-06-16,KOSDAQ,887,713,125,174,-1844,0,0,63.1548,67.7041,,
2025-06-17,KOSDAQ,641,938,147,-297,-2141,0,0,60.9075,67.4105,,
2025-06-18,KOSDAQ,881,706,139,175,-1966,0,0,62.1512,68.347,,
2025-06-19,KOSDAQ,707,878,141,-171,-2137,0,0,61.1047,68.1312,,
2025-06-20,KOSDAQ,932,657,137,275,-1862,0,0,65.5233,70.6089,,
2025-06-23,KOSDAQ,387,1254,85,-867,-2729,0,0,51.8303,64.2857,,
2025-06-24,KOSDAQ,1280,338,108,942,-1787,0,0,63.9744,69.6721,,
2025-06-25,KOSDAQ,686,900,140,-214,-2001,0,0,63.161,70.2576,,
2025-06-26,KOSDAQ,335,1288,103,-953,-2954,0,0,50.0291,65.828,,
2025-06-27,KOSDAQ,437,1175,114,-738,-3692,0,0,39.3148,61.4394,,
2025-06-30,KOSDAQ,699,898,129,-199,-3891,0,0,36.6434,59.1574,,
2025-07-01,KOSDAQ,964,627,135,337,-3554,0,0,41.1492,61.3224,,
2025-07-02,KOSDAQ,575,996,155,-421,-3975,0,0,36.7963,59.6491,,
2025-07-03,KOSDAQ,1175,434,117,741,-3234,0,0,46.8369,63.8012,,
2025-07-04,KOSDAQ,341,1268,119,-927,-4161,0,0,36.1579,59.9415,,
2025-07-07,KOSDAQ,616,977,136,-361,-4522,0,0,34.5708,57.3684,,
2025-07-08,KOSDAQ,952,624,153,328,-4194,0,0,37.913,57.076,,
2025-07-09,KOSDAQ,982,622,126,360,-3834,0,0,43.6522,58.655,,
2025-07-10,KOSDAQ,908,666,156,242,-3592,0,0,49.1594,58.7719,,
2025-07-11,KOSDAQ,857,697,176,160,-3432,0,0,52.4638,59.8246,,
2025-07-14,KOSDAQ,659,934,137,-275,-3707,0,0,49.6524,57.7193,,
2025-07-15,KOSDAQ,818,756,157,62,-3645,0,0,52.2596,58.3041,,
2025-07-16,KOSDAQ,530,1084,117,-554,-4199,0,0,47.7404,57.3099,,
2025-07-17,KOSDAQ,830,741,160,89,-4110,0,0,51.1587,59.5906,,
2025-07-18,KOSDAQ,631,962,138,-331,-4441,0,0,49.9421,59.0643,,
2025-07-21,KOSDAQ,810,791,130,19,-4422,0,0,51.6802,60.1754,,
2025-07-22,KOSDAQ,384,1238,111,-854,-5276,0,0,42.7578,54.9123,,
2025-07-23,KOSDAQ,565,1041,128,-476,-5752,0,0,40.9038,53.6257,,
2025-07-24,KOSDAQ,400,1232,102,-832,-6584,0,0,33.7775,48.9474,,
2025-07-25,KOSDAQ,643,942,150,-299,-6883,0,0,30.7648,47.5161,,
2025-07-28,KOSDAQ,485,1126,125,-641,-7524,0,0,27.2306,44.9182,,
2025-07-29,KOSDAQ,739,844,154,-105,-7629,0,0,27.0568,44.3341,,
2025-07-30,KOSDAQ,836,756,145,80,-7549,0,0,30.1854,45.9696,,
2025-07-31,KOSDAQ,827,764,146,63,-7486,0,0,31.5972,46.6706,,
2025-08-01,KOSDAQ,139,1527,71,-1388,-8874,0,0,16.3678,31.3485,,
2025-08-04,KOSDAQ,1165,442,130,723,-8151,0,0,18.6235,35.277,,
2025-08-05,KOSDAQ,1178,418,141,760,-7391,0,0,25.2601,39.3357,,
2025-08-06,KOSDAQ,979,582,177,397,-6994,0,0,27.9769,40.7343,,
2025-08-07,KOSDAQ,856,722,161,134,-6860,0,0,34.5087,42.0163,,
2025-08-08,KOSDAQ,806,777,156,29,-6831,0,0,37.7457,43.972,,
2025-08-11,KOSDAQ,684,939,116,-255,-7086,0,0,37.4928,42.5495,,
2025-08-12,KOSDAQ,579,1011,149,-432,-7518,0,0,35.4131,41.0704,,
2025-08-13,KOSDAQ,873,732,134,141,-7377,0,0,39.457,41.3953,,
2025-08-14,KOSDAQ,724,871,146,-147,-7524,0,0,41.4211,40.3488,,
2025-08-18,KOSDAQ,361,1273,108,-912,-8436,0,0,30.156,35.407,,
2025-08-19,KOSDAQ,407,1193,143,-786,-9222,0,0,26.7744,31.9001,,
2025-08-20,KOSDAQ,358,1260,126,-902,-10124,0,0,20.5306,26.7286,,
2025-08-21,KOSDAQ,816,763,167,53,-10071,0,0,22.4337,27.7164,,
2025-08-22,KOSDAQ,870,697,180,173,-9898,0,0,25.3602,28.7623,,
2025-08-25,KOSDAQ,1146,460,142,686,-9212,0,0,34.7926,32.3461,,
2025-08-26,KOSDAQ,661,914,173,-253,-9465,0,0,33.8515,32.23,,
2025-08-27,KOSDAQ,629,963,156,-334,-9799,0,0,34.0818,31.747,,
2025-08-28,KOSDAQ,723,869,156,-146,-9945,0,0,34.6575,30.8183,,
2025-08-29,KOSDAQ,576,1033,139,-457,-10402,0,0,33.6212,30.238,,
2025-09-01,KOSDAQ,333,1306,109,-973,-11375,0,0,25.734,25.1886,,
2025-09-02,KOSDAQ,1042,566,140,476,-10899,0,0,29.764,28.7703,,
2025-09-03,KOSDAQ,851,725,172,126,-10773,0,0,32.7388,29.0435,,
2025-09-04,KOSDAQ,1158,453,137,705,-10068,0,0,40.1955,32.4058,,
