started_at,finished_at,target_count,success_count,failure_count,added_rows,elapsed_seconds
2026-07-12 21:34:09,2026-07-12 21:34:50,25,25,0,0,41.7
2026-07-13 21:41:23,2026-07-13 21:43:28,79,79,0,60,125.1
2026-07-14 21:43:40,2026-07-14 21:45:31,79,79,0,79,111.2
2026-07-15 21:44:36,2026-07-15 21:46:43,79,79,0,79,127.1
2026-07-16 21:52:18,2026-07-16 21:54:23,91,91,0,79,125.9
2026-07-17 21:38:58,2026-07-17 21:41:27,91,91,0,0,148.8
2026-07-20 21:53:38,2026-07-20 21:56:14,93,93,0,93,155.6
2026-07-21 21:51:00,2026-07-21 21:52:51,93,93,0,93,111.2
2026-07-22 21:53:17,2026-07-22 21:55:46,93,93,0,93,149.4
2026-07-24 21:51:54,2026-07-24 21:54:31,95,95,0,188,156.1
2026-07-27 21:54:47,2026-07-27 21:56:55,96,96,0,95,128.0
2026-07-28 21:53:05,2026-07-28 21:55:11,96,96,0,96,126.0
2026-07-29 21:43:59,2026-07-29 21:46:33,96,96,0,96,154.1
2026-07-30 21:55:11,2026-07-30 21:57:43,96,96,0,96,152.1
2026-07-31 21:53:47,2026-07-31 21:55:45,96,96,0,96,118.2
2026-08-03 21:55:25,2026-08-03 21:58:25,109,109,0,107,180.3
2026-08-04 22:03:02,2026-08-04 22:05:57,110,110,0,109,175.5
2026-08-05 22:02:24,2026-08-05 22:04:35,114,114,0,110,130.9
2026-08-07 00:59:18,2026-08-07 01:02:22,114,114,0,228,184.6
2026-08-07 21:25:50,2026-08-07 21:28:07,114,114,0,0,136.6
2026-08-10 21:29:03,2026-08-10 21:32:04,114,114,0,114,180.3
2026-08-11 21:32:33,2026-08-11 21:35:28,117,117,0,114,174.9
