name,ticker,saved_at
한솔테크닉스,004710,2026-06-25 02:43:44
세진중공업,075580,2026-06-25 02:44:54
티에스이,131290,2026-07-15 12:18:11
마이크로컨텍솔,098120,2026-07-15 12:18:32
경동나비엔,009450,2026-07-15 12:19:02
네오셈,253590,2026-07-15 12:19:11
대한항공,003490,2026-07-15 12:19:22
동진쎄미켐,005290,2026-07-15 12:19:38
두산테스나,131970,2026-07-15 12:20:06
디아이,003160,2026-07-15 12:20:19
디아이티,110990,2026-07-15 12:20:31
디케이티,290550,2026-07-15 12:20:41
롯데관광개발,032350,2026-07-15 12:20:54
브이엠,089970,2026-07-15 12:21:26
비에이치,090460,2026-07-15 12:21:35
비에이치아이,083650,2026-07-15 12:21:37
산일전기,062040,2026-07-15 12:21:45
솔브레인,357780,2026-07-15 12:21:57
실리콘투,257720,2026-07-15 12:22:04
심텍,222800,2026-07-15 12:22:15
싸이맥스,160980,2026-07-15 12:22:22
에스앤에스텍,101490,2026-07-15 12:22:44
에스티아이,039440,2026-07-15 12:22:56
에프에스티,036810,2026-07-15 12:23:10
엑시콘,092870,2026-07-15 12:23:23
엘티씨,170920,2026-07-15 12:23:40
엠케이전자,033160,2026-07-15 12:24:16
와이씨,232140,2026-07-15 12:24:28
