name,ticker,year,quarter,period,period_end,revenue,operating_income,net_income,equity,operating_margin,fs_div
한솔테크닉스,004710,2017,1,2017Q1,2017-03-31,185724143554.0,6142826423.0,3616317480.0,214031200022.0,3.307500201886218,CFS
한솔테크닉스,004710,2017,2,2017Q2,2017-06-30,16754100226.0,799890160.0,132090743.0,210141272888.0,4.774294943984418,CFS
한솔테크닉스,004710,2017,3,2017Q3,2017-09-30,28591587485.0,4464338990.0,5570574702.0,220067407409.0,15.614169700588068,CFS
한솔테크닉스,004710,2017,4,2017Q4,2017-12-31,603369248263.0,19049061207.0,9363861476.0,213351318407.0,3.157115027296981,CFS
한솔테크닉스,004710,2018,1,2018Q1,2018-03-31,176546869115.0,5356565174.0,3075189163.0,217602015652.0,3.034075427591306,CFS
한솔테크닉스,004710,2018,2,2018Q2,2018-06-30,-2508333096.0,-3203307189.0,-4281205602.0,221377729146.0,127.70661098034645,CFS
한솔테크닉스,004710,2018,3,2018Q3,2018-09-30,31654659209.0,4905255231.0,5734742983.0,225572770104.0,15.49615555363599,CFS
한솔테크닉스,004710,2018,4,2018Q4,2018-12-31,545552542654.0,8500971897.0,-24448762017.0,201851320148.0,1.558231560180168,CFS
한솔테크닉스,004710,2019,1,2019Q1,2019-03-31,211042301880.0,6886000316.0,4758656587.0,209931312455.0,3.2628531126974836,CFS
한솔테크닉스,004710,2019,2,2019Q2,2019-06-30,-5187777366.0,1269362154.0,1748574799.0,220132587045.0,-24.468323608473064,CFS
한솔테크닉스,004710,2019,3,2019Q3,2019-09-30,30319168680.0,3885915583.0,1036899825.0,282564379380.0,12.816695681908122,CFS
한솔테크닉스,004710,2019,4,2019Q4,2019-12-31,619120436645.0,13425105314.0,-1100307598.0,261842264520.0,2.1684157910777992,CFS
한솔테크닉스,004710,2020,1,2020Q1,2020-03-31,196637743746.0,10846360660.0,11233832275.0,278581959387.0,5.51590984181064,CFS
한솔테크닉스,004710,2020,2,2020Q2,2020-06-30,50348919390.0,526438524.0,-3730031726.0,285223713854.0,1.0455805812280414,CFS
한솔테크닉스,004710,2020,3,2020Q3,2020-09-30,67050377027.0,3375546661.0,-2626897518.0,285412978351.0,5.03434404200401,CFS
한솔테크닉스,004710,2020,4,2020Q4,2020-12-31,880855107021.0,17711841810.0,21308915002.0,279102969899.0,2.0107554203665123,CFS
한솔테크닉스,004710,2021,1,2021Q1,2021-03-31,306171518011.0,2259101947.0,3264652982.0,287108599545.0,0.737855030303255,CFS
한솔테크닉스,004710,2021,2,2021Q2,2021-06-30,44733123754.0,1852535338.0,-3178891577.0,285853365126.0,4.141305552877577,CFS
한솔테크닉스,004710,2021,3,2021Q3,2021-09-30,40410231496.0,-6998299208.0,-3701407075.0,287789741746.0,-17.31813688989316,CFS
한솔테크닉스,004710,2021,4,2021Q4,2021-12-31,1099306114508.0,-1369208269.0,-5730204475.0,278276252348.0,-0.12455204705313552,CFS
한솔테크닉스,004710,2022,1,2022Q1,2022-03-31,462035542001.0,10745971338.0,5208661241.0,398074825751.0,2.32578889742139,CFS
한솔테크닉스,004710,2022,2,2022Q2,2022-06-30,-115375750543.0,3583500194.0,413971437.0,411664885980.0,-3.1059387931473923,CFS
한솔테크닉스,004710,2022,3,2022Q3,2022-09-30,45760357858.0,6628605808.0,10849223624.0,441457016074.0,14.485476334274693,CFS
한솔테크닉스,004710,2022,4,2022Q4,2022-12-31,1254971498986.0,34146882497.0,16155344794.0,440026250016.0,2.720928923452861,CFS
한솔테크닉스,004710,2023,1,2023Q1,2023-03-31,412007565445.0,16721635206.0,14269349318.0,455343080533.0,4.058574795329144,CFS
한솔테크닉스,004710,2023,2,2023Q2,2023-06-30,-33599220090.0,1021464746.0,-4921457947.0,462373915330.0,-3.0401442154427105,CFS
한솔테크닉스,004710,2023,3,2023Q3,2023-09-30,63376057346.0,3920397215.0,15658551492.0,490493981861.0,6.1859279027041545,CFS
한솔테크닉스,004710,2023,4,2023Q4,2023-12-31,860894700011.0,27273920909.0,13966829000.0,474674770896.0,3.1680902331785186,CFS
한솔테크닉스,004710,2024,1,2024Q1,2024-03-31,268094697229.0,12494984983.0,11599415358.0,485759593793.0,4.660660994845074,CFS
한솔테크닉스,004710,2024,2,2024Q2,2024-06-30,14371434976.0,-2519185507.0,722600664.0,502354215532.0,-17.529115994380433,CFS
한솔테크닉스,004710,2024,3,2024Q3,2024-09-30,42002097904.0,-166058717.0,-6430230094.0,507159113903.0,-0.39535814944182984,CFS
한솔테크닉스,004710,2024,4,2024Q4,2024-12-31,716321446097.0,23544843359.0,17285065570.0,512372272804.0,3.286910295271503,CFS
한솔테크닉스,004710,2025,1,2025Q1,2025-03-31,284087892138.0,19300919104.0,16316928366.0,523938229004.0,6.793995674628853,CFS
한솔테크닉스,004710,2025,2,2025Q2,2025-06-30,-35218550699.0,-6510324559.0,-7819732028.0,521133693677.0,18.48549820985352,CFS
한솔테크닉스,004710,2025,3,2025Q3,2025-09-30,28226623512.0,4876261912.0,4319860022.0,501510343604.0,17.275399269512175,CFS
한솔테크닉스,004710,2025,4,2025Q4,2025-12-31,791091554668.0,2748833743.0,-12262874573.0,492683967731.0,0.34747352904729367,CFS
한솔테크닉스,004710,2026,1,2026Q1,2026-03-31,267848462766.0,14106771198.0,11723021260.0,503957518431.0,5.266698584835289,CFS
세진중공업,075580,2017,1,2017Q1,2017-03-31,78685047147.0,2279601028.0,2279601028.0,156679336729.0,2.8971210041232256,CFS
세진중공업,075580,2017,2,2017Q2,2017-06-30,-12765829850.0,-1358716075.0,-1358716075.0,157656836381.0,10.643382302326392,CFS
세진중공업,075580,2017,3,2017Q3,2017-09-30,-24715838850.0,-558864380.0,-558864380.0,158268912869.0,2.261158860080527,CFS
세진중공업,075580,2017,4,2017Q4,2017-12-31,191760221499.0,1505573296.0,1505573296.0,157012034629.0,0.7851332691581456,CFS
세진중공업,075580,2018,1,2018Q1,2018-03-31,37509407592.0,-2449757783.0,-3334305471.0,152643738659.0,-6.531048982822337,CFS
세진중공업,075580,2018,2,2018Q2,2018-06-30,8803514261.0,5379644256.0,4407124283.0,153742708017.0,61.10791777588285,CFS
세진중공업,075580,2018,3,2018Q3,2018-09-30,8925392739.0,603522336.0,1698467467.0,156490168118.0,6.761857473933619,CFS
세진중공업,075580,2018,4,2018Q4,2018-12-31,162984046481.0,4846198794.0,-1003097893.0,158369457341.0,2.9734191159408656,CFS
세진중공업,075580,2019,1,2019Q1,2019-03-31,58159850737.0,3023593861.0,1478310217.0,157810858239.0,5.198764822614059,CFS
세진중공업,075580,2019,2,2019Q2,2019-06-30,24238410030.0,1817496200.0,729832874.0,160155078288.0,7.498413459259398,CFS
세진중공업,075580,2019,3,2019Q3,2019-09-30,-11524773207.0,-2543569390.0,-1265859374.0,160274556250.0,22.070450709217155,CFS
세진중공업,075580,2019,4,2019Q4,2019-12-31,224982049761.0,7057054058.0,2154149683.0,162334095484.0,3.1367187140026314,CFS
세진중공업,075580,2020,1,2020Q1,2020-03-31,61419267897.0,-1794572581.0,-1777049151.0,156726081057.0,-2.9218397458098897,CFS
세진중공업,075580,2020,2,2020Q2,2020-06-30,26221448114.0,-2338131570.0,-1778628045.0,152010594407.0,-8.916866680416627,CFS
세진중공업,075580,2020,3,2020Q3,2020-09-30,-36996811519.0,12668398076.0,12497656187.0,160847519943.0,-34.24186451714642,CFS
세진중공업,075580,2020,4,2020Q4,2020-12-31,234920804198.0,-6683684596.0,-5658027405.0,161164754010.0,-2.8450799063188725,CFS
세진중공업,075580,2021,1,2021Q1,2021-03-31,54529408891.0,31480753495.0,31490279144.0,182480533374.0,57.73169769349151,CFS
세진중공업,075580,2021,2,2021Q2,2021-06-30,-8740819219.0,-36574170413.0,-41017959777.0,191170922111.0,418.42954872580344,CFS
세진중공업,075580,2021,3,2021Q3,2021-09-30,-4894662633.0,6085191179.0,11330454222.0,193108478206.0,-124.32299496952888,CFS
세진중공업,075580,2021,4,2021Q4,2021-12-31,187149554453.0,15388620574.0,12257224996.0,203194732371.0,8.222632759654598,CFS
세진중공업,075580,2022,1,2022Q1,2022-03-31,141186127891.0,-7956778860.0,-8125140037.0,187963204819.0,-5.635666179713404,CFS
세진중공업,075580,2022,2,2022Q2,2022-06-30,-52313697260.0,20124469480.0,18512773336.0,199239261281.0,-38.468834232803374,CFS
세진중공업,075580,2022,3,2022Q3,2022-09-30,-19411657923.0,-8864884546.0,-6191431548.0,203991076560.0,45.66783827102371,CFS
세진중공업,075580,2022,4,2022Q4,2022-12-31,340592893871.0,8310884669.0,9161363127.0,209345312736.0,2.440122744354073,CFS
세진중공업,075580,2023,1,2023Q1,2023-03-31,72913553437.0,-6547565369.0,-6054529292.0,194342892099.0,-8.979901623718474,CFS
세진중공업,075580,2023,2,2023Q2,2023-06-30,20896515742.0,27741843630.0,19523523391.0,209695749102.0,132.75822616801872,CFS
세진중공업,075580,2023,3,2023Q3,2023-09-30,-11475188390.0,-21377714817.0,-10224272738.0,212083663582.0,186.2951098530941,CFS
세진중공업,075580,2023,4,2023Q4,2023-12-31,302461565063.0,16412356376.0,19485606060.0,231686076362.0,5.426261803737428,CFS
세진중공업,075580,2024,1,2024Q1,2024-03-31,76060989063.0,-118327532.0,2603332117.0,233100330648.0,-0.15556927862454084,CFS
세진중공업,075580,2024,2,2024Q2,2024-06-30,-8598583655.0,5350514745.0,-867903082.0,234694127681.0,-62.225535735629244,CFS
세진중공업,075580,2024,3,2024Q3,2024-09-30,544528625.0,-3795268652.0,-2855835627.0,232932405272.0,-696.9823950026503,CFS
세진중공업,075580,2024,4,2024Q4,2024-12-31,225842088344.0,8506561017.0,23141861276.0,249391451944.0,3.7665968639303884,CFS
세진중공업,075580,2025,1,2025Q1,2025-03-31,98495969479.0,17800868936.0,13181259716.0,251374642971.0,18.072687674590853,CFS
세진중공업,075580,2025,2,2025Q2,2025-06-30,-324737706.0,-9036408708.0,-8351107280.0,256598574869.0,2782.679233436477,CFS
