기준일,종목코드,종목명,현재가,현재시총_억원,상장주식수
2026-07-11,000020,동화약품,5160,1441.0,27931470
2026-07-11,000040,KR모터스,267,231.0,86375184
2026-07-11,000050,경방,8220,2254.0,27415270
2026-07-11,000070,삼양홀딩스,57300,4448.0,7763191
2026-07-11,000080,하이트진로,15040,10548.0,70133611
2026-07-11,000087,하이트진로2우B,12290,139.0,1130138
2026-07-11,000100,유한양행,68500,54559.0,79647601
2026-07-11,000105,유한양행우,58200,687.0,1180940
2026-07-11,000120,CJ대한통운,73900,16858.0,22812344
2026-07-11,000140,하이트진로홀딩스,8290,1924.0,23206765
2026-07-11,000145,하이트진로홀딩스우,9690,46.0,470810
2026-07-11,000150,두산,1382000,223799.0,16193835
2026-07-11,000155,두산우,464000,18544.0,3996462
2026-07-11,000157,두산2우B,415000,3706.0,893038
2026-07-11,000180,성창기업지주,4945,690.0,13950320
2026-07-11,0001A0,덕양에너젠,8690,2213.0,25468962
2026-07-11,000210,DL,45650,9566.0,20955884
2026-07-11,000215,DL우,20750,350.0,1686115
2026-07-11,000220,유유제약,3745,590.0,15747462
2026-07-11,000225,유유제약1우,3600,82.0,2266930
2026-07-11,000227,유유제약2우B,8610,28.0,322960
2026-07-11,000230,일동홀딩스,6120,706.0,11540400
2026-07-11,000240,한국앤컴퍼니,25050,23781.0,94935240
2026-07-11,000250,삼천당제약,199600,46821.0,23457472
2026-07-11,000270,기아,147500,575859.0,390412998
2026-07-11,000300,DH오토넥스,4200,1740.0,41437055
2026-07-11,000320,노루홀딩스,16940,2252.0,13291151
2026-07-11,000325,노루홀딩스우,24950,61.0,243559
2026-07-11,000370,한화손해보험,6150,7179.0,116738915
2026-07-11,000390,SP삼화,6220,1692.0,27203469
2026-07-11,000400,롯데손해보험,2140,6641.0,310336320
2026-07-11,000430,대원강업,3920,2430.0,62000000
2026-07-11,000440,중앙에너비스,13970,870.0,6227130
2026-07-11,000480,CR홀딩스,4950,2321.0,46890490
2026-07-11,000490,대동,7180,2070.0,28826865
2026-07-11,0004V0,엔비알모션,6720,740.0,11010384
2026-07-11,0004Y0,디비금융제14호스팩,2010,107.0,5315000
2026-07-11,000500,가온전선,254500,42102.0,16543115
2026-07-11,000520,삼일제약,6280,1362.0,21691811
2026-07-11,000540,흥국화재,3305,2123.0,64242645
2026-07-11,000545,흥국화재우,5710,44.0,768000
2026-07-11,000590,CS홀딩스,70100,809.0,1154482
2026-07-11,000640,동아쏘시오홀딩스,82900,5581.0,6732527
2026-07-11,000650,천일고속,167200,2390.0,1429220
2026-07-11,000660,SK하이닉스,2180000,15536912.0,712702365
2026-07-11,000670,영풍,36750,6766.0,18410683
2026-07-11,000680,LS네트웍스,2960,2333.0,78803016
2026-07-11,000700,유수홀딩스,5800,1510.0,26041812
2026-07-11,000720,현대건설,107200,119373.0,111355765
2026-07-11,000725,현대건설우,50300,531.0,1054693
2026-07-11,000760,이화산업,13840,388.0,2800000
2026-07-11,0007C0,아크릴,16770,1347.0,8030324
2026-07-11,0007J0,인벤테라,8340,656.0,7865714
2026-07-11,000810,삼성화재,648000,289316.0,44647473
2026-07-11,000815,삼성화재우,405500,12193.0,3007020
2026-07-11,000850,화천기공,42000,924.0,2200000
2026-07-11,000860,강남제비스코,12960,1685.0,13000000
2026-07-11,000880,한화,93600,65995.0,70507919
2026-07-11,00088K,한화3우B,34050,6607.0,19404441
2026-07-11,000890,보해양조,1748,483.0,27624025
2026-07-11,0008Z0,에스엔시스,21600,2038.0,9436564
2026-07-11,000910,유니온,2900,453.0,15611619
2026-07-11,000950,전방,27800,467.0,1680000
2026-07-11,000970,한국주철관,6600,1505.0,22800500
2026-07-11,000990,DB하이텍,121900,53032.0,43504588
2026-07-11,0009K0,에임드바이오,23950,15489.0,64671161
2026-07-11,001000,신라섬유,849,206.0,24277540
2026-07-11,001020,페이퍼코리아,2070,737.0,35596662
2026-07-11,001040,CJ,142200,41490.0,29176998
2026-07-11,001045,CJ우,66400,1501.0,2260223
2026-07-11,00104K,CJ4우(전환),139200,5883.0,4226512
2026-07-11,001060,JW중외제약,25000,5821.0,23285930
2026-07-11,001065,JW중외제약우,20400,70.0,341951
2026-07-11,001067,JW중외제약2우B,43200,91.0,209973
2026-07-11,001070,대한방직,5880,312.0,5300000
2026-07-11,001080,만호제강,4350,1805.0,41500000
2026-07-11,0010F0,보원케미칼,2300,256.0,11143601
2026-07-11,0010V0,제이피아이헬스케어,7430,379.0,5105400
2026-07-11,001120,LX인터내셔널,37100,14380.0,38760000
2026-07-11,001130,대한제분,10950,1851.0,16900000
2026-07-11,0011A0,액스비스,10160,948.0,9333740
2026-07-11,0011T0,채비,5900,2770.0,46949591
2026-07-11,001200,유진투자증권,4445,4306.0,96866418
2026-07-11,001210,금호전기,1331,824.0,61880083
2026-07-11,001230,동국홀딩스,1737,2701.0,155507715
2026-07-11,001250,GS글로벌,2680,2212.0,82533764
2026-07-11,001260,남광토건,10520,1034.0,9832572
2026-07-11,001270,부국증권,56300,5838.0,10369886
2026-07-11,001275,부국증권우,30850,926.0,3000000
2026-07-11,001290,상상인증권,766,830.0,108337120
2026-07-11,001340,PKC,5590,2517.0,45028089
2026-07-11,001360,삼성제약,1305,1229.0,94162079
2026-07-11,001380,SG글로벌,1340,301.0,22482071
2026-07-11,001390,KG케미칼,4260,2864.0,67233030
2026-07-11,0013V0,삼진식품,5330,529.0,9918656
2026-07-11,001420,태원물산,3000,228.0,7600000
2026-07-11,001430,세아베스틸지주,31800,11404.0,35862119
2026-07-11,001440,대한전선,30250,59288.0,195992596
2026-07-11,001450,현대해상,38150,32522.0,85248250
2026-07-11,001460,BYC,34550,2158.0,6246150
2026-07-11,001465,BYC우,23300,502.0,2153850
2026-07-11,001470,삼부토건,347,797.0,229681824
2026-07-11,001500,현대차증권,8340,5157.0,61833044
2026-07-11,001510,SK증권,2460,5690.0,231295085
2026-07-11,001515,SK증권우,4300,84.0,1956257
2026-07-11,001520,동양,550,1178.0,214244064
2026-07-11,001525,동양우,4205,22.0,525230
2026-07-11,001527,동양2우B,4795,20.0,411410
2026-07-11,001530,DI동일,23300,4827.0,20715621
2026-07-11,001540,안국약품,11200,1461.0,13042420
2026-07-11,001550,조비,10750,558.0,5192239
2026-07-11,001560,제일연마,9020,686.0,7600000
2026-07-11,001570,금양,9900,6333.0,63967196
2026-07-11,0015G0,그린광학,16510,1932.0,11702541
2026-07-11,0015N0,아로마티카,5400,679.0,12576922
2026-07-11,0015S0,페스카로,7420,732.0,9866730
2026-07-11,001620,케이비아이동국실업,2275,506.0,22258606
2026-07-11,001630,종근당홀딩스,39400,1974.0,5009861
2026-07-11,001680,대상,17440,6043.0,34648025
2026-07-11,001685,대상우,14260,195.0,1370223
2026-07-11,001720,신영증권,156900,25794.0,16440000
2026-07-11,001740,SK네트웍스,8580,17211.0,200593889
2026-07-11,001750,한양증권,20850,2654.0,12728534
2026-07-11,001755,한양증권우,20800,109.0,525000
2026-07-11,001770,SHD,6770,82.0,1214878
2026-07-11,001780,알루코,1674,1621.0,96830132
2026-07-11,001790,대한제당,2870,2475.0,86241915
2026-07-11,001795,대한제당우,2140,139.0,6482760
2026-07-11,0017J0,세미티에스,3630,1094.0,30136623
2026-07-11,001800,오리온홀딩스,26800,16122.0,60156652
2026-07-11,001810,무림SP,1197,265.0,22137500
2026-07-11,001820,삼화콘덴서,110200,11455.0,10395000
2026-07-11,001840,이화공영,2215,626.0,28256809
2026-07-11,001940,KISCO홀딩스,25000,3544.0,14176380
2026-07-11,002020,코오롱,43900,5666.0,12907680
2026-07-11,002025,코오롱우,21400,248.0,1160437
2026-07-11,002030,아세아,178600,3677.0,2058852
2026-07-11,002070,비비안,6050,145.0,2404344
2026-07-11,002100,경농,9180,1792.0,19522575
2026-07-11,002140,고려산업,1714,427.0,24939425
2026-07-11,002150,도화엔지니어링,5090,1716.0,33720000
2026-07-11,002170,SYTS,54700,1641.0,3000000
2026-07-11,002200,한국수출포장,2305,772.0,33499941
2026-07-11,002210,동성제약,973,940.0,96619507
2026-07-11,002220,한일철강,4345,1160.0,26697460
2026-07-11,002230,피에스텍,4890,915.0,18705320
2026-07-11,002240,고려제강,17670,4771.0,27000000
2026-07-11,002290,삼일기업공사,3330,413.0,12400000
2026-07-11,002310,아세아제지,8040,3172.0,39449510
2026-07-11,002320,한진,15820,2455.0,15518616
2026-07-11,002350,넥센타이어,7020,6856.0,97667877
2026-07-11,002355,넥센타이어1우B,4040,263.0,6500000
2026-07-11,002360,SH에너지화학,1749,194.0,11113373
2026-07-11,002380,KCC,453500,38969.0,8592896
2026-07-11,002390,한독,7890,1086.0,13763533
2026-07-11,002410,범양건영,1935,532.0,27479820
2026-07-11,002420,세기상사,5140,307.0,5969948
2026-07-11,002450,삼익악기,1153,1044.0,90530915
2026-07-11,002460,HS화성,11090,1126.0,10150000
2026-07-11,002600,조흥,138700,832.0,600000
2026-07-11,002620,제일파마홀딩스,6680,1067.0,15973355
2026-07-11,002630,오리엔트바이오,882,523.0,59291502
2026-07-11,002680,한탑,1605,104.0,6463359
2026-07-11,002690,동일제강,1552,315.0,20300360
2026-07-11,002700,신일전자,1088,762.0,70047521
2026-07-11,002710,TCC스틸,9580,2511.0,26213697
2026-07-11,002720,국제약품,3455,731.0,21159832
2026-07-11,002760,보락,954,571.0,59900000
2026-07-11,002780,진흥기업,865,1258.0,145471745
2026-07-11,002785,진흥기업우B,1802,15.0,857218
2026-07-11,002787,진흥기업2우B,3560,10.0,294808
2026-07-11,002790,아모레퍼시픽홀딩스,24300,18579.0,76458180
2026-07-11,002795,아모레퍼시픽홀딩스우,10630,678.0,6381172
2026-07-11,00279K,아모레퍼시픽홀딩스3우C,20600,1461.0,7092200
2026-07-11,002800,신신제약,4420,671.0,15170500
2026-07-11,002810,삼영무역,19170,3540.0,18466948
2026-07-11,002820,SUN&L,2165,273.0,12607989
2026-07-11,002840,미원상사,120800,5738.0,4750000
2026-07-11,002870,신풍,1130,395.0,34958700
2026-07-11,002880,디와이에이,1063,497.0,46773995
2026-07-11,002900,TYM,6490,2687.0,41400000
2026-07-11,002920,유성기업,1746,453.0,25947500
2026-07-11,002960,한국쉘석유,496000,6448.0,1300000
2026-07-11,002990,금호건설,16820,6267.0,37259974
2026-07-11,002995,금호건설우,41450,121.0,292266
2026-07-11,003000,부광약품,4100,4045.0,98664671
2026-07-11,003010,혜인,4455,566.0,12712747
2026-07-11,003030,세아제강지주,105500,4369.0,4141657
2026-07-11,003060,에이프로젠바이오로직스,2085,300.0,14412374
2026-07-11,003070,코오롱글로벌,9530,2423.0,25423959
2026-07-11,003075,코오롱글로벌우,13580,101.0,740737
2026-07-11,003080,SB성보,2275,455.0,20020000
2026-07-11,003090,대웅,17030,9902.0,58141980
2026-07-11,0030R0,대신밸류리츠,3865,2310.0,59780000
2026-07-11,003100,선광,19100,1261.0,6600000
2026-07-11,003120,일성아이에스,20200,2687.0,13300000
2026-07-11,003160,디아이,22000,6226.0,28300000
2026-07-11,003200,일신방직,11400,2617.0,22960000
2026-07-11,003220,대원제약,8000,1794.0,22427583
2026-07-11,003230,삼양식품,1139000,85801.0,7533015
2026-07-11,003240,태광산업,851000,9475.0,1113400
2026-07-11,003280,흥아해운,1732,4164.0,240424899
2026-07-11,003300,한일홀딩스,17000,5241.0,30831444
2026-07-11,003310,대주산업,1636,579.0,35392350
2026-07-11,003350,한국화장품제조,8030,1820.0,22660000
2026-07-11,003380,하림지주,10360,11604.0,112005621
2026-07-11,003460,유화증권,3195,1812.0,56702415
